headline,clean,tb_polarity,tb_subjectivity,vader_compound,vader_pos,vader_neg,vader_neu,sentiment
IPL 2026 captains: Know the 10 skippers - full list - olympics.com,IPL 2026 captains: Know the 10 skippers - full list - olympics.com,0.35,0.55,0.0,0.0,0.0,1.0,Neutral
KKR's fast bowling problem: 2024 winners head towards shaky start to IPL campaign - India Today,KKR's fast bowling problem: 2024 winners head towards shaky start to IPL campaign - India Today,-0.06666666666666665,0.55,-0.128,0.15,0.222,0.628,Negative
"Anil Kumble Slams KKR For Releasing Star Duo After IPL 2024: ""Wrong Decision"" - NDTV Sports","Anil Kumble Slams KKR For Releasing Star Duo After IPL 2024: ""Wrong Decision"" - NDTV Sports",-0.5,0.9,-0.4767,0.0,0.171,0.829,Negative
‘KKR took the wrong decision by letting Shreyas Iyer and Phil Salt leave’: Anil Kumble - The Indian Express,‘KKR took the wrong decision by letting Shreyas Iyer and Phil Salt leave’: Anil Kumble - The Indian Express,-0.5,0.9,-0.4767,0.0,0.147,0.853,Negative
KKR unveil new jersey ahead of IPL 2026 season - The Times of India,KKR unveil new jersey ahead of IPL 2026 season - The Times of India,0.13636363636363635,0.45454545454545453,0.0,0.0,0.0,1.0,Neutral
IPL 2024: Harbhajan Singh urges Rohit Sharma to ditch Impact Player role - Asianet Newsable,IPL 2024: Harbhajan Singh urges Rohit Sharma to ditch Impact Player role - Asianet Newsable,0.0,0.0,0.0,0.0,0.0,1.0,Neutral
IPL 2026: Three Fast Bowlers Who Could Replace Injured Harshit Rana In KKR - Outlook India,IPL 2026: Three Fast Bowlers Who Could Replace Injured Harshit Rana In KKR - Outlook India,0.2,0.6,-0.4019,0.0,0.153,0.847,Negative
Who Can Replace Harshit Rana at KKR for IPL 2026 Season? 3 Players Who Can Be Roped In - myKhel,Who Can Replace Harshit Rana at KKR for IPL 2026 Season? 3 Players Who Can Be Roped In - myKhel,0.0,0.0,0.0,0.0,0.0,1.0,Neutral
"Days Ahead Of IPL 2026, Anil Kumble Points Out ""Wrong Decision"" Taken By KKR - NDTV Sports","Days Ahead Of IPL 2026, Anil Kumble Points Out ""Wrong Decision"" Taken By KKR - NDTV Sports",-0.5,0.9,-0.4767,0.0,0.162,0.838,Negative
SRH Playing XI For IPL 2026 (Predicted Lineup) - durhamccc.co.uk,SRH Playing XI For IPL 2026 (Predicted Lineup) - durhamccc.co.uk,0.0,0.0,0.2023,0.167,0.0,0.833,Positive
IPL winners list from 2008 to 2025 - Forbes India,IPL winners list from 2008 to 2025 - Forbes India,0.0,0.0,0.4767,0.256,0.0,0.744,Positive
IPL 2025 vs IPL 2024: Spinners rule as six appeal dips - ESPNcricinfo,IPL 2025 vs IPL 2024: Spinners rule as six appeal dips - ESPNcricinfo,0.0,0.0,0.0,0.0,0.0,1.0,Neutral
IPL winners list: Know all champions - olympics.com,IPL winners list: Know all champions - olympics.com,0.0,0.0,0.7579,0.52,0.0,0.48,Positive
KKR face flak from Shreyas Iyer fans over IPL 2024 title win anniversary post: 'Can’t even give him a mention?' - Firstpost,KKR face flak from Shreyas Iyer fans over IPL 2024 title win anniversary post: 'Can’t even give him a mention?' - Firstpost,0.8,0.4,0.5859,0.153,0.0,0.847,Positive
"Comparing IPL 2025 to 2024: GT show need for speed, CSK slow down - ESPNcricinfo","Comparing IPL 2025 to 2024: GT show need for speed, CSK slow down - ESPNcricinfo",-0.2277777777777778,0.34444444444444444,0.4278,0.168,0.0,0.832,Positive
Highest score in IPL: Teams with the biggest totals - the record list - olympics.com,Highest score in IPL: Teams with the biggest totals - the record list - olympics.com,0.0,0.0,0.0,0.0,0.0,1.0,Neutral
Most expensive player in IPL: Rishabh Pant leads the list - olympics.com,Most expensive player in IPL: Rishabh Pant leads the list - olympics.com,0.0,0.6,0.0,0.0,0.0,1.0,Neutral
Highest run chase in IPL: Punjab Kings hold the record - full list - olympics.com,Highest run chase in IPL: Punjab Kings hold the record - full list - olympics.com,0.35,0.55,0.0,0.0,0.0,1.0,Neutral
